Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
02/14/2019 12:00:00 AM,Complete,Special Event,Free Speech,,Seattle Dyke March,S19JU150,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,"East, Traffic",Seattle Dyke March,855
04/05/2019 12:00:00 AM,Complete,Special Event,Community,,Dragon Fest 2019,S19JU243,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,Hing Hay Park,International District,2,West,Chinatown-International District Business Improvement Area (CIDBIA),7700
04/08/2019 12:00:00 AM,Complete,Special Event,Community,,Greenwood Car Show,S19JU244,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Greenwood / Phinney Ridge,6,North,Greenwood Knights,40850
03/21/2019 12:00:00 AM,Complete,Special Event,Community,,PrideFest Capitol Hill,S19JU216,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,East,PrideFest,20330
01/10/2019 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (6.29),S19JU102,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,"Duwamish / SODO, Pioneer Square",7,West,Sounders FC,500
04/23/2019 12:00:00 AM,Cancelled,Special Event,Commercial,,Day into Night Crush,S19JU283,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Night Crush,435
01/18/2019 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Beer Garden (6.29),S19JU120,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Pioneer Square,7,West,Fuel Sports Eats and Beats,400
03/29/2019 12:00:00 AM,Complete,Special Event,Commercial,,Julia's on Broadway - Le Faux Playhouse,S19JU228,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,East,Julia's on Broadway - Le Faux Playhouse,130
03/11/2019 12:00:00 AM,Complete,Special Event,Commercial,,Neighbours Nightclub 2019 Alley Pride,S19JU189,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,East,Neighbours Nightclub and Lounge,970
03/15/2019 12:00:00 AM,Complete,Special Event,Commercial,,Rally for SAM,S19JU211,06/29/2019 12:00:00 AM,06/29/2019 12:00:00 AM,Olympic Sculpture Park,Belltown,7,West,Seattle Art Museum,2085
01/31/2019 12:00:00 AM,Complete,Special Event,Community,,Arts in Nature Festival,S19JU138,06/29/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Delridge / North Delridge,1,Southwest,DNDA ( Delridge Neighborhoods Development Assn. ),1770
02/15/2019 12:00:00 AM,Complete,Special Event,Commercial,,The Cuff Pride Day Celebration,S19JU149,06/29/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Capitol Hill,3,East,The Cuff Complex,7000
04/02/2019 12:00:00 AM,Complete,Special Event,Mixed Free Speech,,Trans Pride Seattle 2019,S19JU234,06/28/2019 12:00:00 AM,06/28/2019 12:00:00 AM,Cal Anderson Park,Capitol Hill,7,East,Gender Justice League,8000
06/26/2019 12:00:00 AM,Complete,Special Event,Free Speech,,MAGA March,S19JU375,06/28/2019 12:00:00 AM,06/28/2019 12:00:00 AM,Multiple Parks,Downtown,7,West,Patriots of Washington,40
01/28/2019 12:00:00 AM,Complete,Special Event,Commercial,,Elysian Brewing's Pride Beer Garden,S19JU133,06/28/2019 12:00:00 AM,06/29/2019 12:00:00 AM,,Capitol Hill,3,East,Elysian Brewing,720
01/30/2019 12:00:00 AM,Complete,Special Event,Commercial,,Queer/Pride: Queer/Bar's 2nd Annual Pride Festival,S19JU132,06/28/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Capitol Hill,3,East,Sugarbaker & Associates LLC DBA Queer/Bar,4320
03/11/2019 12:00:00 AM,Complete,Special Event,Commercial,,UP: Union Pride,S19JU188,06/28/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Capitol Hill,3,East,U14 dba Union,5575
03/08/2019 12:00:00 AM,Complete,Special Event,Commercial,,Wildrose Pride 2019,S19JU194,06/28/2019 12:00:00 AM,06/30/2019 12:00:00 AM,,Capitol Hill,3,"East, Operations",Wildrose,7190
03/28/2019 12:00:00 AM,Cancelled,Special Event,Free Speech,,Corpus Christi Procession and Adoration,S19JU227,06/23/2019 12:00:00 AM,06/23/2019 12:00:00 AM,,Broadview / Bitter Lake,5,North,Christ The King Church/ Cristo Rey,250
06/13/2019 12:00:00 AM,Complete,Special Event,Free Speech,,Sudan Solidarity Rally/March,S19JU345,06/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,,"Capitol Hill, Downtown","3, 7","East, West",Africa Now,135
03/04/2019 12:00:00 AM,Complete,Special Event,Community,,Fremont Solstice Celebration,S19JU177,06/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,Gas Works Park,Fremont,"4, 6",North,Fremont Arts Council,2150
03/22/2019 12:00:00 AM,Complete,Special Event,Community,,Morgan Junction Festival,S19JU218,06/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,,Fauntleroy / Seaview,1,Southwest,Morgan Community Association (MoCA),803
04/09/2019 12:00:00 AM,Complete,Special Event,Community,,South Lake Union Asia Night Market,S19JU264,06/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Northwest Marketplaces,15000
03/04/2019 12:00:00 AM,Complete,Special Event,Citywide,,Fremont Solstice Parade,S19JU176,06/22/2019 12:00:00 AM,06/22/2019 12:00:00 AM,,Fremont,6,"North, Operations, Traffic",Fremont Arts Council,25000
03/07/2019 12:00:00 AM,Complete,Special Event,Community,,Fremont Fair,S19JU186,06/22/2019 12:00:00 AM,06/23/2019 12:00:00 AM,,Fremont,6,North,Bold Hat Productions,40225
06/20/2019 12:00:00 AM,Issued,Special Event,Citywide,,Seawolves March,S19JU365,06/21/2019 12:00:00 AM,06/21/2019 12:00:00 AM,,Downtown,7,West,Seattle Sports Commission,100
06/06/2019 12:00:00 AM,Complete,Special Event,Free Speech,,#SeeMySweatshop protest,S19JU336,06/20/2019 12:00:00 AM,06/20/2019 12:00:00 AM,,"Cascade / Eastlake / South Lake Union, Downtown, Montlake / Portage Bay","3, 4, 7","Traffic, West",Drive Forward Seattle,57
06/13/2019 12:00:00 AM,Complete,Special Event,Free Speech,,The Ride For Safe Streets,S19JU352,06/16/2019 12:00:00 AM,06/16/2019 12:00:00 AM,Westlake Park,Downtown,7,West,For Safe Streets,435
03/22/2019 12:00:00 AM,Complete,Special Event,Athletic,Other,Urban X,S19JU224,06/15/2019 12:00:00 AM,06/15/2019 12:00:00 AM,,Pioneer Square,7,West,Downtown Seattle Association,
02/26/2019 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Taco Time Volunteer Park Criterium,S19JU170,06/15/2019 12:00:00 AM,06/15/2019 12:00:00 AM,Volunteer Park,North Capitol Hill,3,East,Seattle Super Squadra Cycling Team,640
03/11/2019 12:00:00 AM,Complete,Special Event,Community,,Roosevelt High School Neighborhood Parade,S19JU195,06/15/2019 12:00:00 AM,06/15/2019 12:00:00 AM,,Ravenna / Bryant,4,"North, Traffic",Roosevelt High School Band Boosters,
03/18/2019 12:00:00 AM,Cancelled,Special Event,Commercial,,Bhrany-Sandwith Wedding Baraat,S19JU213,06/14/2019 12:00:00 AM,06/14/2019 12:00:00 AM,,Downtown,7,West,Bhrany-Sandwith Wedding,200
12/14/2018 12:00:00 AM,Complete,Special Event,Commercial,,"Seattle Symphony Friday Matinees, Masterworks series (6.14)",S19JU060,06/14/2019 12:00:00 AM,06/14/2019 12:00:00 AM,,Downtown,7,"Traffic, West",Seattle Symphony/ Benaroya Hall,150
06/05/2019 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Nordic Heritage Museum,S19JU342,06/14/2019 12:00:00 AM,06/14/2019 12:00:00 AM,,Ballard,6,North,Butler Valet,250
03/25/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Furry 5K,S19JU220,06/09/2019 12:00:00 AM,06/09/2019 12:00:00 AM,Seward Park,Seward Park,2,South,Seattle Animal Shelter Foundation,1900
03/11/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Rock 'n' Roll Seattle Marathon,S19JU192,06/09/2019 12:00:00 AM,06/09/2019 12:00:00 AM,,"Ballard, Belltown, Capitol Hill, Cascade / Eastlake / South Lake Union, Downtown, First Hill, Fremont, Green Lake, Greenwood / Phinney Ridge, North Capitol Hill, Queen Anne, University District, Wallingford","3, 4, 6, 7","East, North, Traffic, West","Competitor Group, Inc.",24000
05/01/2019 12:00:00 AM,Complete,Special Event,Community,,Parks & Rec Fest,S19JU295,06/09/2019 12:00:00 AM,06/09/2019 12:00:00 AM,,International District,2,East,Seattle Parks and Recreation,800
05/31/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Lard Butt 1K,S19JU334,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,"Pro-Motion Events, Inc.",1550
03/14/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Loop the Lupe 5K,S19JU209,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,OTHER,High Point,1,Southwest,Our Lady of Guadalupe Parish,400
04/01/2019 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Ballard Criterium,S19JU232,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,,Ballard,6,North,Apex Racing,600
03/05/2019 12:00:00 AM,Complete,Special Event,Community,,Georgetown Carnival,S19JU180,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,,Georgetown,2,South,Georgetown Merchants Association,5125
11/02/2018 12:00:00 AM,Cancelled,Special Event,Community,,SODO Flea (6.8),S19JU027,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,,Duwamish / SODO,2,South,SODO Flea Market,100
04/19/2019 12:00:00 AM,Complete,Special Event,Community,,Volunteer Park Pride Festival,S19JU277,06/08/2019 12:00:00 AM,06/08/2019 12:00:00 AM,Volunteer Park,North Capitol Hill,3,East,Seattle Pride,7605
05/30/2019 12:00:00 AM,Complete,Special Event,Free Speech,,Turn it up United Nations Project and Movement Press Conference,S19JU331,06/07/2019 12:00:00 AM,06/07/2019 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Kiamsha Temple of Awakening and Hub Community Development Center,
05/24/2019 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Seattle Aquarium SPLASH,S19JU325,06/07/2019 12:00:00 AM,06/07/2019 12:00:00 AM,,Downtown,7,West,Butler Valet,500
02/19/2019 12:00:00 AM,Complete,Special Event,Commercial,,Drink Pink at Cafe Campagne,S19JU158,06/06/2019 12:00:00 AM,06/06/2019 12:00:00 AM,,Downtown,7,West,Cafe Campagne,112
05/22/2019 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Maddie York Lighting,S19JU321,06/06/2019 12:00:00 AM,06/06/2019 12:00:00 AM,,Belltown,7,West,Butler Valet,500
05/07/2019 12:00:00 AM,Complete,Special Event,Commercial,,Cake Topper : Marry Us JVN!,S19JU298,06/04/2019 12:00:00 AM,06/04/2019 12:00:00 AM,,Capitol Hill,3,East,Elysian Brewing,170
